ID,Parking,Apartment_renovation,Windows,Quantity_of_rooms,Distance_min,Area_sm,Cost_per_month,Is_included_utility_charges,Lease_term,Elevator_total,With_children,With_pets,WashingRoom_total,Loggia_and_Balcony
272406227,наземная,Дизайнерский,На улицу и двор,5,9.0,181.0,370000.0,1,Срок аренды - Длительный,1.0,,,3.0,1.0
269938440,,Евроремонт,На улицу и двор,2,15.0,123.6,400000.0,1,Срок аренды - Длительный,,1.0,1.0,2.0,
265972115,,Дизайнерский,,3,8.0,129.0,400000.0,1,Срок аренды - Длительный,1.0,,,2.0,
272294030,наземная,Евроремонт,На улицу,4,7.0,176.0,400000.0,0,,1.0,1.0,1.0,4.0,1.0
271917911,подземная,Дизайнерский,На улицу и двор,4,9.0,190.0,400000.0,1,Срок аренды - Длительный,5.0,1.0,1.0,3.0,
272096512,наземная,Евроремонт,На улицу и двор,4,7.0,180.0,450000.0,0,,1.0,1.0,0.0,2.0,
271453191,,Дизайнерский,Во двор,4,,247.0,500000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,2.0,1.0
259213637,подземная,Дизайнерский,Во двор,3,2.0,110.0,500000.0,1,Срок аренды - Длительный,2.0,,,2.0,1.0
271066176,подземная,Евроремонт,На улицу и двор,5,7.0,180.0,500000.0,0,,1.0,1.0,1.0,3.0,2.0
274431441,наземная,Евроремонт,На улицу и двор,4,8.0,300.0,500000.0,0,,1.0,1.0,1.0,3.0,1.0
274751643,подземная,Дизайнерский,На улицу и двор,3,9.0,190.0,500000.0,1,Срок аренды - Длительный,4.0,1.0,1.0,2.0,
272470364,,Дизайнерский,На улицу,5,9.0,180.0,500000.0,1,Срок аренды - Длительный,3.0,1.0,1.0,2.0,1.0
271499362,,Косметический,На улицу и двор,4,6.0,209.0,550000.0,1,Срок аренды - Длительный,4.0,1.0,0.0,3.0,
265591858,подземная,Дизайнерский,,3,6.0,173.1,550000.0,1,Срок аренды - Длительный,4.0,1.0,0.0,2.0,1.0
267743247,наземная,Евроремонт,На улицу и двор,6,7.0,336.0,590000.0,0,,1.0,1.0,1.0,4.0,
270598847,подземная,Евроремонт,На улицу и двор,4,4.0,190.0,600000.0,0,,1.0,1.0,1.0,2.0,
271983799,наземная,Евроремонт,На улицу и двор,6,6.0,258.0,600000.0,0,,1.0,1.0,0.0,3.0,1.0
